OBJECTID,CNN,CNNTEXT,ST_NAME1,ST_TYPE1,ST_NAME2,ST_TYPE2,ST_NAME3,ST_TYPE3,ST_NAME4,ST_TYPE4,TOTEMP2,UNIVPROX,SIGNALIZED,PKGMETERS,MAXPCTSLPE,MODEL6_VOL,HH_PEDMODE,PCOL_04_09,PCOL_RATE,point
4482,25176000,25176000,POLK,ST,EDDY,ST, , , , ,10529,0,1,1,6,9951672,5402,5,1,POINT (-122.41918170360364 37.78310140001083)
6304,27358000,27358000,15TH,AVE,LINCOLN,WAY, , , , ,939,0,0,0,6,515235,2273,0,0,POINT (-122.47292272997561 37.765641190652026)
7445,26919000,26919000,LAUREL,ST,MAYFAIR,DR, , , , ,423,0,0,0,10,1099077,1743,0,0,POINT (-122.44998016107374 37.78613490911898)
6340,51327000,51327000,LINCOLN,BLVD,HOFFMAN,ST, , , , ,1150,0,0,0,6,190754,29,0,0,POINT (-122.47025709322942 37.80599593265247)
4966,33111000,33111000,HUDSON,AVE,SELBY,ST, , , , ,506,0,0,0,6,386097,1,0,0,POINT (-122.39573357109145 37.744283452493704)
4411,51783000,51783000,PERSHING,DR,SIBERT,LN, , , , ,314,0,0,0,8,166954,353,0,0,POINT (-122.47852608287403 37.791513033919856)
3606,25440000,25440000,MASON,ST,FILBERT,ST, , , , ,3566,0,0,0,11,4534314,4787,0,0,POINT (-122.41265966148458 37.80096505604619)
3561,27625000,27625000,15TH,AVE,LAKE,ST, , , , ,447,0,0,0,6,305541,2052,0,0,POINT (-122.47438284170664 37.78623801794357)
79,21421000,21421000,SEVILLE,ST,NAPLES,ST, , , , ,548,0,0,0,5,202339,1353,0,0,POINT (-122.43791755571283 37.711770198102265)
4134,27848000,27848000,33RD,AVE,ANZA,ST, , , , ,397,0,0,0,4,267742,1833,0,0,POINT (-122.49316778467693 37.7777740032741)
5412,26513000,26513000,LAGUNA,ST,CLEARY,CT,GALILEE,LN, , ,5471,0,0,0,6,353849,2928,0,0,POINT (-122.4277788709709 37.7839247350916)
7969,20822000,20822000,BARNEVELD,AVE,JERROLD,AVE, , , , ,207,0,0,0,11,373715,266,0,0,POINT (-122.40269801264682 37.7463340932853)
5705,27126000,27126000,MORAGA,ST,11TH,AVE, , , , ,2641,0,0,0,2,171846,1495,0,0,POINT (-122.46793163970031 37.75648620455322)
